mlp
2024-08-18 15:39:36.389729: Remain 1584 Samples, max category conditions [38], timestep  999
2024-08-18 15:39:37.012168: Remain 1584 Samples, max category conditions [38], timestep  998
2024-08-18 15:39:37.332371: Remain 1584 Samples, max category conditions [38], timestep  997
2024-08-18 15:39:37.419944: Remain 1584 Samples, max category conditions [38], timestep  996
2024-08-18 15:39:37.509509: Remain 1584 Samples, max category conditions [38], timestep  995
2024-08-18 15:39:37.596915: Remain 1584 Samples, max category conditions [38], timestep  994
2024-08-18 15:39:38.223926: Remain 1584 Samples, max category conditions [38], timestep  993
2024-08-18 15:39:38.311428: Remain 1584 Samples, max category conditions [38], timestep  992
2024-08-18 15:39:38.398974: Remain 1584 Samples, max category conditions [38], timestep  991
2024-08-18 15:39:38.486225: Remain 1584 Samples, max category conditions [38], timestep  990
2024-08-18 15:39:38.573706: Remain 1584 Samples, max category conditions [38], timestep  989
2024-08-18 15:39:38.661286: Remain 1584 Samples, max category conditions [38], timestep  988
2024-08-18 15:39:38.748897: Remain 1584 Samples, max category conditions [38], timestep  987
2024-08-18 15:39:38.835517: Remain 1584 Samples, max category conditions [38], timestep  986
2024-08-18 15:39:38.926596: Remain 1584 Samples, max category conditions [38], timestep  985
2024-08-18 15:39:39.012985: Remain 1584 Samples, max category conditions [38], timestep  984
2024-08-18 15:39:39.100575: Remain 1584 Samples, max category conditions [38], timestep  983
2024-08-18 15:39:39.188998: Remain 1584 Samples, max category conditions [38], timestep  982
2024-08-18 15:39:39.276583: Remain 1584 Samples, max category conditions [38], timestep  981
2024-08-18 15:39:39.363195: Remain 1584 Samples, max category conditions [38], timestep  980
2024-08-18 15:39:39.450745: Remain 1584 Samples, max category conditions [38], timestep  979
2024-08-18 15:39:39.537389: Remain 1584 Samples, max category conditions [38], timestep  978
2024-08-18 15:39:39.624419: Remain 1584 Samples, max category conditions [38], timestep  977
2024-08-18 15:39:39.711933: Remain 1584 Samples, max category conditions [38], timestep  976
2024-08-18 15:39:39.798546: Remain 1584 Samples, max category conditions [38], timestep  975
2024-08-18 15:39:39.886096: Remain 1584 Samples, max category conditions [38], timestep  974
2024-08-18 15:39:39.973738: Remain 1584 Samples, max category conditions [38], timestep  973
2024-08-18 15:39:40.060340: Remain 1584 Samples, max category conditions [38], timestep  972
2024-08-18 15:39:40.147319: Remain 1584 Samples, max category conditions [38], timestep  971
2024-08-18 15:39:40.234355: Remain 1584 Samples, max category conditions [38], timestep  970
2024-08-18 15:39:40.323963: Remain 1584 Samples, max category conditions [38], timestep  969
2024-08-18 15:39:40.410533: Remain 1584 Samples, max category conditions [38], timestep  968
2024-08-18 15:39:40.497109: Remain 1584 Samples, max category conditions [38], timestep  967
2024-08-18 15:39:40.587688: Remain 1584 Samples, max category conditions [38], timestep  966
2024-08-18 15:39:40.675263: Remain 1584 Samples, max category conditions [38], timestep  965
2024-08-18 15:39:40.761880: Remain 1584 Samples, max category conditions [38], timestep  964
