mlp
2024-08-18 16:15:28.236549: Remain 348 Samples, max category conditions [33], timestep  999
2024-08-18 16:15:28.858520: Remain 348 Samples, max category conditions [33], timestep  998
2024-08-18 16:15:29.161153: Remain 348 Samples, max category conditions [33], timestep  997
2024-08-18 16:15:29.247155: Remain 348 Samples, max category conditions [33], timestep  996
2024-08-18 16:15:29.334663: Remain 348 Samples, max category conditions [33], timestep  995
2024-08-18 16:15:29.421206: Remain 348 Samples, max category conditions [33], timestep  994
2024-08-18 16:15:29.505787: Remain 348 Samples, max category conditions [33], timestep  993
2024-08-18 16:15:29.590763: Remain 348 Samples, max category conditions [33], timestep  992
2024-08-18 16:15:29.677306: Remain 348 Samples, max category conditions [33], timestep  991
2024-08-18 16:15:29.762950: Remain 348 Samples, max category conditions [33], timestep  990
2024-08-18 16:15:29.847991: Remain 348 Samples, max category conditions [33], timestep  989
2024-08-18 16:15:29.932564: Remain 348 Samples, max category conditions [33], timestep  988
2024-08-18 16:15:30.020169: Remain 348 Samples, max category conditions [33], timestep  987
2024-08-18 16:15:30.104778: Remain 348 Samples, max category conditions [33], timestep  986
2024-08-18 16:15:30.190392: Remain 348 Samples, max category conditions [33], timestep  985
2024-08-18 16:15:30.275991: Remain 348 Samples, max category conditions [33], timestep  984
2024-08-18 16:15:30.362141: Remain 348 Samples, max category conditions [33], timestep  983
2024-08-18 16:15:30.448111: Remain 348 Samples, max category conditions [33], timestep  982
2024-08-18 16:15:30.534647: Remain 348 Samples, max category conditions [33], timestep  981
2024-08-18 16:15:30.620253: Remain 348 Samples, max category conditions [33], timestep  980
2024-08-18 16:15:30.705861: Remain 348 Samples, max category conditions [33], timestep  979
2024-08-18 16:15:30.791439: Remain 348 Samples, max category conditions [33], timestep  978
2024-08-18 16:15:30.878094: Remain 348 Samples, max category conditions [33], timestep  977
2024-08-18 16:15:30.962601: Remain 348 Samples, max category conditions [33], timestep  976
2024-08-18 16:15:31.048605: Remain 348 Samples, max category conditions [33], timestep  975
2024-08-18 16:15:31.133140: Remain 348 Samples, max category conditions [33], timestep  974
2024-08-18 16:15:31.219725: Remain 348 Samples, max category conditions [33], timestep  973
2024-08-18 16:15:31.306237: Remain 348 Samples, max category conditions [33], timestep  972
2024-08-18 16:15:31.390885: Remain 348 Samples, max category conditions [33], timestep  971
2024-08-18 16:15:31.476495: Remain 348 Samples, max category conditions [33], timestep  970
2024-08-18 16:15:31.562082: Remain 348 Samples, max category conditions [33], timestep  969
2024-08-18 16:15:31.648051: Remain 348 Samples, max category conditions [33], timestep  968
2024-08-18 16:15:31.732624: Remain 348 Samples, max category conditions [33], timestep  967
2024-08-18 16:15:31.818741: Remain 348 Samples, max category conditions [33], timestep  966
2024-08-18 16:15:31.907343: Remain 348 Samples, max category conditions [33], timestep  965
2024-08-18 16:15:31.992854: Remain 348 Samples, max category conditions [33], timestep  964
2024-08-18 16:15:32.078428: Remain 348 Samples, max category conditions [33], timestep  963
2024-08-18 16:15:32.164069: Remain 348 Samples, max category conditions [33], timestep  962
2024-08-18 16:15:32.249104: Remain 348 Samples, max category conditions [33], timestep  961
2024-08-18 16:15:32.335680: Remain 348 Samples, max category conditions [33], timestep  960
2024-08-18 16:15:32.421286: Remain 348 Samples, max category conditions [33], timestep  959
2024-08-18 16:15:32.506797: Remain 348 Samples, max category conditions [33], timestep  958
2024-08-18 16:15:32.592410: Remain 348 Samples, max category conditions [33], timestep  957
2024-08-18 16:15:32.677981: Remain 348 Samples, max category conditions [33], timestep  956
2024-08-18 16:15:32.763554: Remain 348 Samples, max category conditions [33], timestep  955
2024-08-18 16:15:32.849528: Remain 348 Samples, max category conditions [33], timestep  954
2024-08-18 16:15:32.934633: Remain 348 Samples, max category conditions [33], timestep  953
2024-08-18 16:15:33.021240: Remain 348 Samples, max category conditions [33], timestep  952
2024-08-18 16:15:33.108854: Remain 348 Samples, max category conditions [33], timestep  951
2024-08-18 16:15:33.195432: Remain 348 Samples, max category conditions [33], timestep  950
2024-08-18 16:15:33.281041: Remain 348 Samples, max category conditions [33], timestep  949
2024-08-18 16:15:33.366624: Remain 348 Samples, max category conditions [33], timestep  948
2024-08-18 16:15:33.452702: Remain 348 Samples, max category conditions [33], timestep  947
2024-08-18 16:15:33.538266: Remain 348 Samples, max category conditions [33], timestep  946
2024-08-18 16:15:33.623874: Remain 348 Samples, max category conditions [33], timestep  945
2024-08-18 16:15:33.710207: Remain 348 Samples, max category conditions [33], timestep  944
2024-08-18 16:15:33.795815: Remain 348 Samples, max category conditions [33], timestep  943
2024-08-18 16:15:33.881315: Remain 348 Samples, max category conditions [33], timestep  942
2024-08-18 16:15:33.966927: Remain 348 Samples, max category conditions [33], timestep  941
2024-08-18 16:15:34.052970: Remain 348 Samples, max category conditions [33], timestep  940
2024-08-18 16:15:34.137542: Remain 348 Samples, max category conditions [33], timestep  939
2024-08-18 16:15:34.225115: Remain 348 Samples, max category conditions [33], timestep  938
2024-08-18 16:15:34.311752: Remain 348 Samples, max category conditions [33], timestep  937
2024-08-18 16:15:34.398236: Remain 348 Samples, max category conditions [33], timestep  936
2024-08-18 16:15:34.484879: Remain 348 Samples, max category conditions [33], timestep  935
2024-08-18 16:15:34.570481: Remain 348 Samples, max category conditions [33], timestep  934
2024-08-18 16:15:34.656516: Remain 348 Samples, max category conditions [33], timestep  933
2024-08-18 16:15:34.742092: Remain 348 Samples, max category conditions [33], timestep  932
2024-08-18 16:15:34.827671: Remain 348 Samples, max category conditions [33], timestep  931
2024-08-18 16:15:34.913280: Remain 348 Samples, max category conditions [33], timestep  930
2024-08-18 16:15:34.998863: Remain 348 Samples, max category conditions [33], timestep  929
2024-08-18 16:15:35.084370: Remain 348 Samples, max category conditions [33], timestep  928
2024-08-18 16:15:35.168954: Remain 348 Samples, max category conditions [33], timestep  927
2024-08-18 16:15:35.253976: Remain 348 Samples, max category conditions [33], timestep  926
2024-08-18 16:15:35.340571: Remain 348 Samples, max category conditions [33], timestep  925
2024-08-18 16:15:35.425115: Remain 348 Samples, max category conditions [33], timestep  924
2024-08-18 16:15:35.510741: Remain 348 Samples, max category conditions [33], timestep  923
2024-08-18 16:15:35.597283: Remain 348 Samples, max category conditions [33], timestep  922
2024-08-18 16:15:35.683874: Remain 348 Samples, max category conditions [33], timestep  921
2024-08-18 16:15:35.768483: Remain 348 Samples, max category conditions [33], timestep  920
2024-08-18 16:15:35.854518: Remain 348 Samples, max category conditions [33], timestep  919
2024-08-18 16:15:35.940092: Remain 348 Samples, max category conditions [33], timestep  918
2024-08-18 16:15:36.026669: Remain 348 Samples, max category conditions [33], timestep  917
2024-08-18 16:15:36.113179: Remain 348 Samples, max category conditions [33], timestep  916
2024-08-18 16:15:36.198759: Remain 348 Samples, max category conditions [33], timestep  915
2024-08-18 16:15:36.283360: Remain 348 Samples, max category conditions [33], timestep  914
2024-08-18 16:15:36.368876: Remain 348 Samples, max category conditions [33], timestep  913
2024-08-18 16:15:36.453942: Remain 348 Samples, max category conditions [33], timestep  912
2024-08-18 16:15:36.539485: Remain 348 Samples, max category conditions [33], timestep  911
2024-08-18 16:15:36.624026: Remain 348 Samples, max category conditions [33], timestep  910
2024-08-18 16:15:36.710535: Remain 348 Samples, max category conditions [33], timestep  909
2024-08-18 16:15:36.796082: Remain 348 Samples, max category conditions [33], timestep  908
2024-08-18 16:15:36.881685: Remain 348 Samples, max category conditions [33], timestep  907
2024-08-18 16:15:36.966229: Remain 348 Samples, max category conditions [33], timestep  906
2024-08-18 16:15:37.052295: Remain 348 Samples, max category conditions [33], timestep  905
2024-08-18 16:15:37.140836: Remain 348 Samples, max category conditions [33], timestep  904
2024-08-18 16:15:37.226381: Remain 348 Samples, max category conditions [33], timestep  903
2024-08-18 16:15:37.311915: Remain 348 Samples, max category conditions [33], timestep  902
2024-08-18 16:15:37.397498: Remain 348 Samples, max category conditions [33], timestep  901
2024-08-18 16:15:37.482542: Remain 348 Samples, max category conditions [33], timestep  900
2024-08-18 16:15:37.568056: Remain 348 Samples, max category conditions [33], timestep  899
2024-08-18 16:15:37.654096: Remain 348 Samples, max category conditions [33], timestep  898
2024-08-18 16:15:37.739633: Remain 348 Samples, max category conditions [33], timestep  897
2024-08-18 16:15:37.825936: Remain 348 Samples, max category conditions [33], timestep  896
2024-08-18 16:15:37.911019: Remain 348 Samples, max category conditions [33], timestep  895
2024-08-18 16:15:37.997102: Remain 348 Samples, max category conditions [33], timestep  894
2024-08-18 16:15:38.082614: Remain 348 Samples, max category conditions [33], timestep  893
2024-08-18 16:15:38.169204: Remain 348 Samples, max category conditions [33], timestep  892
2024-08-18 16:15:38.254195: Remain 348 Samples, max category conditions [33], timestep  891
2024-08-18 16:15:38.339737: Remain 348 Samples, max category conditions [33], timestep  890
2024-08-18 16:15:38.425342: Remain 348 Samples, max category conditions [33], timestep  889
2024-08-18 16:15:38.513860: Remain 348 Samples, max category conditions [33], timestep  888
2024-08-18 16:15:38.599033: Remain 348 Samples, max category conditions [33], timestep  887
2024-08-18 16:15:38.684610: Remain 348 Samples, max category conditions [33], timestep  886
2024-08-18 16:15:38.771103: Remain 348 Samples, max category conditions [33], timestep  885
2024-08-18 16:15:38.856107: Remain 348 Samples, max category conditions [33], timestep  884
2024-08-18 16:15:38.941646: Remain 348 Samples, max category conditions [33], timestep  883
2024-08-18 16:15:39.027261: Remain 348 Samples, max category conditions [33], timestep  882
2024-08-18 16:15:39.112741: Remain 348 Samples, max category conditions [33], timestep  881
2024-08-18 16:15:39.198390: Remain 348 Samples, max category conditions [33], timestep  880
2024-08-18 16:15:39.283929: Remain 348 Samples, max category conditions [33], timestep  879
2024-08-18 16:15:39.368570: Remain 348 Samples, max category conditions [33], timestep  878
2024-08-18 16:15:39.456603: Remain 348 Samples, max category conditions [33], timestep  877
2024-08-18 16:15:39.542148: Remain 348 Samples, max category conditions [33], timestep  876
2024-08-18 16:15:39.627755: Remain 348 Samples, max category conditions [33], timestep  875
2024-08-18 16:15:39.713374: Remain 348 Samples, max category conditions [33], timestep  874
2024-08-18 16:15:39.801974: Remain 348 Samples, max category conditions [33], timestep  873
2024-08-18 16:15:39.888489: Remain 348 Samples, max category conditions [33], timestep  872
2024-08-18 16:15:39.974001: Remain 348 Samples, max category conditions [33], timestep  871
2024-08-18 16:15:40.059068: Remain 348 Samples, max category conditions [33], timestep  870
2024-08-18 16:15:40.144612: Remain 348 Samples, max category conditions [33], timestep  869
2024-08-18 16:15:40.231165: Remain 348 Samples, max category conditions [33], timestep  868
2024-08-18 16:15:40.315722: Remain 348 Samples, max category conditions [33], timestep  867
