mlp
2024-08-18 16:30:31.965618: Remain 1850 Samples, max category conditions [35], timestep  999
2024-08-18 16:30:32.593567: Remain 1850 Samples, max category conditions [35], timestep  998
2024-08-18 16:30:32.881685: Remain 1850 Samples, max category conditions [35], timestep  997
2024-08-18 16:30:32.967229: Remain 1850 Samples, max category conditions [35], timestep  996
2024-08-18 16:30:33.052835: Remain 1850 Samples, max category conditions [35], timestep  995
2024-08-18 16:30:33.138449: Remain 1850 Samples, max category conditions [35], timestep  994
2024-08-18 16:30:33.224052: Remain 1850 Samples, max category conditions [35], timestep  993
2024-08-18 16:30:33.308631: Remain 1850 Samples, max category conditions [35], timestep  992
2024-08-18 16:30:33.394208: Remain 1850 Samples, max category conditions [35], timestep  991
2024-08-18 16:30:33.479243: Remain 1850 Samples, max category conditions [35], timestep  990
2024-08-18 16:30:33.564817: Remain 1850 Samples, max category conditions [35], timestep  989
2024-08-18 16:30:33.649391: Remain 1850 Samples, max category conditions [35], timestep  988
2024-08-18 16:30:33.735973: Remain 1850 Samples, max category conditions [35], timestep  987
2024-08-18 16:30:33.821520: Remain 1850 Samples, max category conditions [35], timestep  986
2024-08-18 16:30:33.907144: Remain 1850 Samples, max category conditions [35], timestep  985
2024-08-18 16:30:33.993758: Remain 1850 Samples, max category conditions [35], timestep  984
2024-08-18 16:30:34.078799: Remain 1850 Samples, max category conditions [35], timestep  983
2024-08-18 16:30:34.166210: Remain 1850 Samples, max category conditions [35], timestep  982
2024-08-18 16:30:34.251754: Remain 1850 Samples, max category conditions [35], timestep  981
2024-08-18 16:30:34.339293: Remain 1850 Samples, max category conditions [35], timestep  980
2024-08-18 16:30:34.424913: Remain 1850 Samples, max category conditions [35], timestep  979
2024-08-18 16:30:34.509219: Remain 1850 Samples, max category conditions [35], timestep  978
2024-08-18 16:30:34.594826: Remain 1850 Samples, max category conditions [35], timestep  977
2024-08-18 16:30:34.680864: Remain 1850 Samples, max category conditions [35], timestep  976
2024-08-18 16:30:34.766889: Remain 1850 Samples, max category conditions [35], timestep  975
2024-08-18 16:30:34.853194: Remain 1850 Samples, max category conditions [35], timestep  974
2024-08-18 16:30:34.938786: Remain 1850 Samples, max category conditions [35], timestep  973
